യുണൈറ്റഡിന്	For United
പ്രകടനത്തില്‍	In performance
സോളമന്റെ	Solomon's
ചിലര്‍	Some of them
വ്യാജപ്രചരണങ്ങള്‍	False propaganda
ഭൂമിക്ക്	to the earth
കപ്പ്‌	Cup
കയ്യേറ്റങ്ങളും	and encroachments
യഷിന്റെ	Yash's
അടിതെറ്രി	The bottom line
ജോസ്‌	Jose
കാര്യങ്ങളും	and things
ഭരിക്കുമെന്നും	and that he will rule
ഹോട്ടലിന്	To the hotel.
കാ​ലാ​വ​ധി	Duration
മനശാത്രജ്ഞന്റെ	The psychologist's
അനുകൂലം	Favorable
ആലോചിക്കൂ	Think about it.
രൂക്ഷമായ	Severe
വരുവെന്ന്	That's coming
വെടിവയ്പ്പ്	Shooting
പ​ര​മ്ബര	Parampara
സന്തോഷ	Happy
അ​വാ​ര്‍​ഡു​ക​ള്‍	Awards
ആരാധകര്‍ക്കാശ്വസിക്കാം	Fans can breathe.
വീടില്ലാതെ	Without a home.
പറ്റുന്നില്ല	I can't.
പ്രണയ	Love
വീട്ടിലും	And at home.
ജീംബൂംബ	Jeembumba
കണ്ടെത്തുന്നവരുടെ	of those who find
വാ​ട്സാ​പ്	WhatsApp
വഴിയെ	By the way
ധവാനും	and Dhawan
സജീഷിന്റെ	Sajeesh's
കിഴക്കന്‍	East
ശക്തമാകില്ല	It won't be strong.
കു​റ​യ്ക്കാ​ന്‍	To reduce
ചായക്കടയില്‍	At the tea shop.
ചോപ്രയ്ക്കും	And Chopra
ലക്ഷത്തിന്	For lakhs of rupees
കാത്തി	Cathy
ജൂണ്‍	June
മറവില്‍	In hiding
സ്ഥാനാര്‍ത്ഥിയോ	The candidate
ആക്രമിച്ച	attacked
ഒതുക്കുങ്ങല്‍	Constriction
കെ​എ​സ്‌എ​ഫ്‌ഇ	KSFE
യൂണിഫോമില്‍	In uniform
കരുതിയിരുന്നോളൂ	Be careful.
പേസര്‍	Pacer
ഓപ്പണര്‍മാരുടെ	Of the openers
രാത്രിയെ	the night.
ഷാനു	Shanu
വി​​മ​​ര്‍​​ശി​​ച്ച്‌	Criticizing
മാ​​​തൃ​​​ക​​​യി​​​ലു​​​ള്ള	Modeled
മുമ്ബാകെ	Before
പുറത്താക്കേണ്ടതില്ല	You don't have to throw out
താരങ്ങള്‍ക്കെതിരെ	Against the stars
ടുവിലെ	In Tu
യുപിഐ	UPI
മരുമകന്‍	Son-in-law
തീരുമാനമെന്ന്	the decision
മൂളി	Moaning
ബെംഗലൂരുവിന്	For Bengaluru
അല്ലാദീന്‍	Aladeen
ആ​​​​മ​​​​സോ​​​​ണ്‍	Amazon
സിയെ	C
പ്രതിഭാസം	Phenomenon
ഭിക്ഷയെടുത്തുണ്ടാക്കുമെന്നും	That he would make alms
സച്ചിന്	Sachin
ഉണ്ടോന്ന്	Whether there is
നിരോധിച്ചേക്കും	May be banned
ജീപ്	Jeep
സര്‍വ്വെ	Survey
എക്കണോമിസ്റ്റ്	Economist
എതിരില്ലാത്ത	Unopposed
ജനമൈത്രിയിലൂടെ	Through Janamaithri
രേഖയാക്കി	Recorded
യുവിയേയും	And Yuvi and
സ്ലിം	Slim.
ഫൗണ്ടേഷന്‍	Foundation
ഹാ	Ha.
പ്രദേശില്‍	in The Region
മു​കേ​ഷ്	Mukesh
മഹീന്ദ്ര	Mahindra
ടീമിനുള്ള	For the team
സ്റ്റെര്‍ലൈറ്റ്	Sterlite
പണിയുമായി	with work
പ്രൂഫും	Proof and proof
കിട്ടാന്‍	To get
നല്ലകാലം	Good time.
രാജകുമാരിയെപ്പോല്‍	Like a princess.
സോ​ഷ്യ​ല്‍	Social
ലോക്‌സഭ	Lok Sabha
ഗൃഹോപകരണങ്ങളും	and household appliances.
ജിയോ	Jio
ലച്ചുവും	Lachchu and
ചേട്ടനാണെങ്കിലും	Even though he's a brother
ഓക്സ്	Ox
ന​​​ട​​​ത്തു​​​മെ​​​ന്ന്	Will do
ഫാന്‍സ്	Fans
ധമാലിന്‍റെ	Of Dhamal
സന്ദര്‍ശനം	Visit
ബയേണില്‍	In Bayern
വേറിട്ട	Separate
തിരക്കഥാകൃത്ത്	Screenwriter
നാരങ്ങാ	Lemon
ഖവാജ	Khawaja
എപ്പോഴും	All the time
സമര്‍പ്പിക്കാനൊരുങ്ങി	Ready to submit
പേടിയാണ്	It's scary.
ഫിഞ്ചിനെ	Finch
എക്സ്‌പോയ്ക്ക്	For the expo
ഹിറ്റുകളുടെ	Of the hits
ആഢംഭര	Luxury
പകരക്കാരനായി	As a substitute
അമുലിന്റെ	Amul's
മാതൃക	Model
ബുംറയുടെ	Bumrah's
രോ​ഹി​ത്തും	And Rohit
അടച്ചുപൂട്ടില്ല	It won't be closed
എയര്‍ലൈനുകള്‍	Airlines
പ്രിയങ്ക	Priyanka
വിജയ്‌സേതുപതി	Vijay Sethupathi
യൂസഫിനെ	Yusuf
കപൂറും	Kapoor and
സ്വത്തുക്കളില്‍	in assets
സ്ത്രീധനമായി	as dowry
തിരിച്ചടി	Setback
വേ	Way
മുറിച്ച്‌	Cut out
മുക്ത	Mukta
കളിക്കാരും	and the players.
സ്റ്റേജ്	Stage
വിസ്മയ്	Vismaya
ഏറ്റവുമിഷ്ടം	I like the most
പിഡിഡിപി	PDDP
കരുത്തന്‍	Strong man
ജ്യൂസുമായി	with juice
വീക്ക്‌നെസുകള്‍	Weeks Nesses
ആഴ്സ്ണല്‍	Arsenal
സംവിധായകനെന്ന	The director
നിന്നപ്പോള്‍	When you stopped
തമ്മില്‍	between
വിവാഹത്തിനൊരുങ്ങി	Ready for marriage
ക്ഷേമപദ്ധതികള്‍	Welfare Schemes
ഗാലക്സി	Galaxy
ദൂതിന്റെയും	and of the messenger
നിക്ഷേപത്തെക്കുറിച്ചുള്ള	About investing
ഇന്ദ്രജിത്തിന്റെ	Indrajith's
കുക്ക്	Cook
കുപ്പായത്തില്‍	In the shirt
കൂളിനെ	Cool
നിര്‍ദേശപ്രകാരം	As instructed
സിലിന്‍ഡറിന്	For Cylindr
സെരുപ്പ്	Seruppu
കശ്യപിനു	For Kashyap
ടാറ്റ	Tata
ഒഴിവുള്ള	Vacant
ക​​​ര്‍​​​ഷ​​​ക​​​രെ	The farmers
പരിഷ്‌കരിക്കാന്‍	To modify
റിമാന്‍ഡ്	Remand
നികതി	Nikati
ഉയരെ	High
വെസ്റ്റ്	West
വ്യോ​മ​ഗ​താ​ഗ​തം	Air Transport
സി​ല്‍ക്സ്	Silks
ഏറ്റവും	the most
ന്യൂസിലന്റിലെ	In New Zealand
റാമോസ്	Ramos
ലഭ്യമായത്	Available
തരം	Type
സമീപിച്ചത്	Approached
നി​​​​യ​​​​മ​​​​നം	Appointment
വിസ	Visa
സാരിഡോണിന്റെ	Saridon's
ഫീ​ഡ്സ്	Feeds
ജതിന്‍	Jatin
റണ്‍സില്‍	In the runs
തകര്‍ന്നു	It's broken
അലി	Ali
ബാറ്റിങ്ങില്‍	In batting
കിരീടാവകാശികളെ	Crown Princes
സിനിമാസിന്	For the cinemas
കളിക്കാരനല്ല	Not a player.
ഉണ്ടായാലും	Even if there is
പെട്രോളിനും	and petrol.
അനുകൂല	In favor of
നിരക്ക്	Rate
500നു	500.
മൂന്നിലേക്ക്	To three.
കിടു	Kiddo
കുറുപ്പും	Kurup and
വിളിയുമായി	with the call
ക്യൂ	Queue
മംഗളൂര്‍	Mangalore
സാംസങ്	Samsung
ജില്ലക്കാര്‍	District residents
സേതുപതിയ്‌ക്കൊപ്പം	With Sethupathi
മോദിക്കെതിരെ	against Modi
ചാഹലിനേക്കാള്‍	More than Chahal
ഹിറ്റ്മാന്‍	Hitman
ഡിഎ	DA
സെലിബ്രിറ്റി	Celebrity
പ്രതീക്ഷിത	Expected
സ്വര്‍ണശേഖരത്തില്‍	In the gold reserves
നഷ്ടപരിഹാരം	Compensation
ലീ​ഗിലേക്ക്	To the League
വൈകാതെതന്നെ	Very soon.
ബാങ്കിനൊപ്പം	with the bank.
വര്‍ധനയുണ്ടാകുമെന്ന്	That there will be an increase
പരമ്ബരയും	And the series
ഇന്നിറങ്ങും	It will come down today.
15ന്	on the 15th.
മലയോര	The mountains
മാസത്തെ	Month of
എത്തുന്ന	Arriving
വിഭാഗം	division
ഉണ്ടോ	Is there
ലിപ്സ്റ്റിക്	Lipstick
കഴിഞ്ഞു	It's over.
നേര്‍ക്കുനേര്‍	Face to face
4ജി	4G
വാറ്റ്ഫഡിനെ	Watford
ലണ്ടനിലെ	In London
ആര്‍ത്തവവും	and menstruation
പ്രോത്സാഹിപ്പിച്ചു	Encouraged
ലിവര്‍പൂളിന്റെ	Liverpool's
പൊള്ളും	Will burn
കാരക്ടര്‍	Character
സഞ്ചാരികളുടെ	Of the tourists
ഒ​രി​ക്ക​ലും	Never.
ശക്തമാക്കാന്‍	To strengthen
ആക്ടീവ്	Active
ലുക്ക്	Look
മുംബൈയില്‍	in Mumbai.
നല്‍കണം	Must provide
കരാര്‍	The Agreement
പാര്‍ക്ക്	Park
നല്‍കാമെന്ന	I'll give it
പോ​ര്‍​ട്ട​ലു​മാ​യി	with the portal
അയ്യേ	Aye,
കുടുങ്ങി	Trapped
ഫോ​ക്ക​സ്	Focus
കാശും	And money.
ടൈമില്‍	in time
യോഗ്യതാ	Eligibility
വിന്‍റെ	of
ഡെയ്‌ലി	Daily
വിടാനൊരുങ്ങുന്നു	Preparing to leave
പെരുമഴയുമായി	with heavy rains
ടാബ്‌ലെറ്റ്	Tablet
പ്രേക്ഷകരെ	The audience
ചരി​​ത്ര​​നേ​​ട്ടം	A historic achievement
ആരാധികയുടെ	The fan's
പൊതുകടം	Public Debt
കാത്തൊരു	Waiting for a
പുജാര	Pujara
പന്തിലേക്ക്	To the ball
കളിക്കാനാവുമെന്നാണ്	It's possible to play.
ശേ​​​ഖ​​​രി​​​ക്കു​​​ന്ന​​​തി​​​നു	To collect
വാര്യരും	Warrier and
ലാല്‍ജോസ്	Lal Jose
പെട്രോളൊഴിച്ച്‌	Pouring petrol
സൂചികകളില്‍	In the indices
സൗദിയുടെ	Saudi Arabia's
ഉപമിക്കുന്നത്	Simileging
കൊലച്ചതി	Murder
കഴിഞ്ഞ	Last
കമ്ബി	Kambi
തിരക്കേറുന്നു	It's getting crowded
വസ്ത്രത്തെ	of the clothes.
അറുപതു	Sixty
കരീന	Kareena
വാങ്ങിയതിന്റെ	of the purchased
ദിനങ്ങള്‍	The days
അ​​ഞ്ചാം	The fifth
കലാശപ്പോരില്‍	At the end of the match
ഇടംപിടിച്ച്‌	Placed
സ്വിഗ്ഗിയോ	Swiggio
വിആര്‍എസ്	VRS
നമിക്കുന്നു	I bow down
ഭേ​ദ​ഗ​തി	Amendment
കിലോയ്ക്ക്	for a kilo
തിരിച്ചുവരാന്‍	To come back.
വിളിപ്പിക്കും	Will be summoned
മോഹന്‍ലാലിന്റെ	Mohanlal's
പബ്ജി	PUBG
കോഹ്‌ലി	Kohli
കുറയും	Will decrease
വിശ്വസിച്ചാണ്	Believing
റണ്ണൗട്ടില്‍	Run out
പാതി	Half
ഫ്രാങ്കിയെ	Frankie
തളര്‍ത്താത്ത	Not tired
കോലിയുടെ	Kohli's
സ്റ്റാര്‍ട്ടപ്പുകളില്‍	In start-ups
തോല്‍വികള്‍ക്ക്	For the defeats
ഒരുകാര്യം	One thing
വലിയ	big
ധരിച്ചെത്തി	Wearing it
ക്ലോസ്	Close
ശമ്ബളമില്ല	No salary
കോഹ്ലിമാര്‍	The Kohlis
തോറ്റ്	Losing
അട്ടിമറി	Sabotage
റെക്കോഡ്	Record
ചരിത്രത്തിലാദ്യമായി	For the first time in history
പുറത്തിരിക്കേണ്ടി	Need to sit outside
രോഹിത‌ിന‌്	Rohith's
നടന്നു	Walked
ഡ്രൈവിംഗ്	Driving
മോഹന്‍ലാലിനോടും	and Mohanlal
കയറേണ്ട	Don't climb.
രജിഷ	Rajisha
ശതമാനത്തിന്റെ	of the percentage of
ഗഡുവിന്	For the installment
സിക്‌സ്	Sixes
ഇണയെ	the mate
ചാ​ര്‍​ജിം​ഗ്	Charging
സ്ഥാനാര്‍ത്ഥിയായേക്കുമെന്ന്	That he may be a candidate
തേടിയെത്തിയാല്‍	If you come in search of
ടെയ്ലറിന്	For Taylor
എയര്‍വെയ്‌സിനു	For airways
ധോണിയില്‍	In Dhoni
കാക്കിയണിഞ്ഞ്	Wearing khaki
പ്രേക്ഷര്‍ക്ക്	For the audience
നീല്‍	Neil
സബ്സിഡിയില്ലാത്തതിന്	For non-subsidy
സൂര്യന്	The Sun
സമര്‍പ്പിക്കലിന്	For submission
ചെലവഴിക്കുന്നത്	Spending
നദാലും	And Nadal
കിയ	Kia
ഈ​​​സ്റ്റേ​​​ണ്‍	Eastern
തകരാറ്	Fault
ജാപ്പനീസ്	Japanese
സ്വ‍ര്‍ണത്തിനും	and for gold
ഇല്ലാതെ	Without
നല്കും	Will give
അപ്‌ഡേറ്റ്	Update
നിയന്ത്രണങ്ങളുമായി	with restrictions
സംപ്രേഷണാവകാശം	Broadcasting Rights
പണയത്തിലുള്ള	At stake
ബിക്കിനിയില്‍	In a bikini
സം​ശ​യനി​വാ​ര​ണ​ത്തി​ന്	For clearing doubts
പാണ്ട്യയും	And Pandya
തിരഞ്ഞെടുക്കപ്പെട്ടു	Selected
പൂവിന്‍	For the flower
അങ്ങേര്	He's
കമ്ബനികള്‍ക്ക്	For companies
കോ​ടി​യു​ടെ	crores of
വിരാമമിടാന്‍	To pause
ജേ​​താ​​ക്ക​​ള്‍	Winners
സ്പോട്സ്	Sports
ചഹാലിനെക്കാള്‍	More than Chahal
റോമയെ	Roma
പിന്മാറ്റമെന്ന്	withdrawal
ഹു​റൂ​ണ്‍	Hurun
ചാര്‍ട്ടില്‍	In the chart
ഉപഭോക്‍താക്കളെ	Customers
എംഎസ്	MS
തോല്‍വികള്‍ക്കിടയില്‍	In the midst of defeats
സ്‌ക്രീന്‍	Screen
പദ്ധതിക്കു	For the project
രാഹുലോ	Rahul
ഇ​ന്‍​ഷ്വ​റ​ന്‍​സ്	Insurance
അനുവദിച്ചതിനെതിരെ	Against the allotted
വി	V.
അരവിന്ദും	Aravind and
കോടീശ്വരന്മാരുടെ	Millionaires
കാലത്ത്	in the time
ചൈനയുടെ	China's
വ്യത്യസ്തനായ	A different one
താരങ്ങളില്ലെങ്കില്‍	If there are no stars.
വരുത്തുന്ന	Making
തിരികെക്കയറുന്നു	Climbing back
നിര്‍ദ്ദേശിച്ച്‌	Suggesting that
എംപിമാര്‍	MPs
അകൗണ്ടുകളില്‍	In accounts
ഓപ്പണിംഗില്‍	At the opening
തോത്	Scale
കൂറ്റന്‍	Huge
ടൊവിനോയും	And Tovino
ആള്‍ട്രോസ്	Altroz
മാമന്റെയും	And mama's
ഭദ്രന്‍	Bhadran
ഖവാജയ്‌ക്ക്	For Khawaja
ഭൂപയുടെ	Bhupa's
ചോദ്യം	question
ലുലുവും	And Lulu
ശ്രദ്ധാകേന്ദ്രം	Center of Attention
ഡി​വി​ഷ​ന്‍	Division
അരിസ്റ്റോ	Aristo
റഷ്യയുടെ	of Russia
നിസാരക്കാരനല്ല	He's not an insignificant person.
കുടുംബ	Family
സ​യ്യേ​ഷ​യും	Sayyeshaa and
ആ​ന്‍​ഡ്	and
ഓട്ടോയും	And autos.
മത്സരത്തിലെ	in the competition
ചാമ്ബ്യന്‍ഷിപ്പ്‌	The Championship
ചാമ്ബ്യന്‍സ‌്	Champions
ഇംഗ്ലീഷ്	English
തുടക്കത്തില്‍	In the beginning
ജവാന്മാരുടെ	of the jawans
ക്രൈസ്റ്റ്	Christ
ലോക്കറിലെ	In the locker
ജ്യോതികയും	And Jyothika
ആര്‍ക്ക്	To whom?
ഇനി​	Now
ഫെഡറര്‍ക്ക‌്	For Federer
ഒറ്റയ്ക്ക്	Alone
നിര്‍മ്മിക്കാന്‍	To build
അക്കൗണ്ട്	Account
സൂചിക	Index
സഹതാരം	Co-star
കണ്ണൂരില്‍നിന്ന്	From Kannur
ഉപദേഷ്ടാവ്	Advisor
ഗാനമാലപിക്കുന്നു	Singing the song
തേര്‍ഡ്	Third
ക്യാമറ	Camera
കിവീസിന‌്	For the Kiwis
വിമര്‍ശിക്കപ്പെടുന്നു	Being criticized
വെയ്ക്കാന്‍	To keep
പീഡന	Torture
വീടുകള്‍ക്ക്	For the houses.
നിസ്കാരം	Namaz
ഏറ്റുവാങ്ങിയ	Received
കൗ​​ണ്‍​സി​​ല്‍	Council
ഇലക്‌ട്രിക്	Electric
നടപടിയ്‌ക്കെതിരെ	against the action
ആഗ്രഹമുണ്ടോ	Do you want to?
മുത്തയ്യ	Muthiah
ഐഎസ്‌എല്ലില്‍	In the ISL
ആവേശം	Excitement
ചാമ്ബ്യനെ	The champion
നിര്‍ത്തു	Stop it.
ലോകബാങ്ക്	World Bank
വലിച്ചെറിയേണ്ട	Don't throw away.
ഇരയായതിനെക്കുറിച്ച്‌	About the victim
ലാപ്പില്‍	On the lap
വേദനിപ്പിച്ചു	It hurt
ട്രഷറി	Treasury
പണത്തില്‍	In money.
എടുക്കരുത്	Don't take it.
പൊട്ടികരഞ്ഞു	Broke down and cried
റൊണാള്‍ഡോയും	And Ronaldo
നിയമിച്ചു	Appointed
ഗവണ്‍മെന്റിന്റെ	of the government
മതിയാക്കൂ	That's enough.
പ്രിയപ്പെട്ട	Dear
എന്‍ടിആര്‍	NTR
ലാബ്	Lab
മാറിയുള്ള	Changed
വല്ല	Any of them
ഫെയ്‌സ്ബുക്കും	And Facebook
ചികിത്സയ്ക്ക്	For treatment
ഹാച്ച്‌	Hatch
കാവ്യയുമൊക്കെ	Kavya and
ജോഷിയുടെ	Joshi's
മുന്നോട്ട്	Forward
ഷവോമിയുടെ	Xiaomi's
ഓരോന്ന്	Each of them
കാണികള്‍	Viewers
ഡേറ്റാ	Data
കാലില്‍	On the feet
റിതുവിനെ	Ritu
തുണിക്കടയില്‍	In the clothing store
ബുക്ക്	Book
പാടില്ലെന്നും	And that it should not be
മുമ്ബും	Before
പ്രകടനത്തിന്	For performance
ജയത്തിനരികെ	Near victory
മിഴിവിനു	To shine
നാഴികക്കല്ലാകുന്ന	Landmark
അ​​​​​ടി​​​​​സ്ഥാ​​​​​നസൗ​​​​​ക​​​​​ര്യം	Infrastructure
മനസ്	The mind
വയറുവേദനയെന്ന്	abdominal pain
നാട്ടിലെ	in the country
ഇന്ദ്രജിത്	Indrajith
ത്തിലൂടെ	through
കരപറ്റി	Crying
2ല്‍	In 2
ചെയ്‌തു	Did it
കഷ്ട	Woe to me
റാണിയും	Rani and
ബിസിസിഐയുടെ	The BCCI's
ഹോക്ക്	Hawk
അടൂര്‍	Adoor
ജോജുവിന്	Joju's
തുടങ്ങുംമുന്‍പ്	Before you start.
ചാടിച്ചത്	Jumped in
മൈ​ക്രോ​സോ​ഫ്റ്റി​ന്‍റെ	Microsoft's
ആ​​​രോ​​​ഗ്യ	Health
ഇന്ത്യയുമായി	with India.
ഗോവയ്ക്ക്	For Goa
മെയ്ക്കപ്പും	Makeup and makeup
ചെയ്താല്‍	If you do,
മറിമായം	Marimayam
ജയ്ഹിന്ദ്	Jai Hind
എം‍ടി	M.T.
എക്‌സല്‍	Excel
ഫേസ്ബുക്ക്	Facebook
കുറച്ചു	A few
അദാനിക്ക്	For Adani
അവളുടെ	her
സ്ഥിരീകരിച്ച്‌	Confirmed
സിവില്‍	Civil
മന്ത്രിസഭാ	Cabinet
ഇന്‍സ്റ്റാള്‍മെന്റ്	Installment
കോണ്‍ഗ്രസിന്റെ	of the Congress
ഉണരും	Will wake up
ഹമ്മറുണ്ടല്ലോ	There's a hummer.
ഖട്ടര്‍	Khattar
ഫിക്ചര്‍	Fixture
നടനു	Actor
വായടപ്പിച്ച്‌	Keep your mouth shut
അനുസ്മരണം	Remembrance
അഭാവം	Lack of absence
ഫീല്‍ഡര്‍മാര്‍	Fielders
കോലിയ	Koliya
അഞ്ചാങ്കത്തിലും	In the five
ശര്‍മ്മയുടെ	Sharma's
വെള്ളി	silver
അഴിമതി	corruption
മൂന്നു	three
സോ​ണി	Sonny
എയര്‍വേയ്സ്	Airways
ബ്രയ്ട്ടന്	Bryton
ഒരുങ്ങി	Ready
ശക്തം	Strong
ആവേശത്തില്‍	In excitement
രഹ്ന	Rehana
അത്ഭുതപ്പെടുത്തി	Surprised
ഉറുഗ്വേക്ക്	Uruguay
പരിഭവം	Worry
ഡ​​യ​​റ​​ക്ട​​ര്‍	Director
സിറ്റിക്ക്	For the city
ഒറ്റ	One
അ​ഭി​യാ​ന്	Abhiyan
വസ്ത്രത്തിന്‍റെ	of the clothing
അഫ്രിദി	Afridi
ത്രില്ലടിപ്പിക്കുന്ന	Thrilling
കേസില്‍	in the case
ഹോണ്ട	Honda
സി​ന്ധു	Sindhu
തീപ്പൊരി	Sparks
ഭീഷണി	Threat
തെലുഗില്‍	In Telugu
രൂപയുമായി	with Rs.
പ്രകടനമാണെങ്കില്‍	If it's performance
സുഹൃത്തുക്കള്‍	Friends.
വിവാദത്തില്‍	In controversy
രജിസ്ട്രേഷനില്‍	In registration
ഇലക്‌ട്രോണിക്	Electronic
ഉടനെന്ന്	Immediately
സയേഷയെത്തിയപ്പോള്‍	When Sayyeshaa arrived
സമ്മര്‍ദ്ദത്തില്‍	Under pressure
ഘട്ടത്തിലേക്ക്	To the stage
ബിസിനസ്	Business
ലയനമെന്ന്	Merger
രണ്ടു	two
നേടില്ലെന്നതിനു	Not to be achieved
വേണമെന്ന്	You want to
ആക്രമണങ്ങളെയെല്ലാം	All the attacks.
തവിടുപൊടി	Bran powder
നായകന്‍	The hero
രാജന്‍	Rajan
തെറ്റായ	Wrong
വിവിധ	various
മിന്നലാക്രമണത്തില്‍	In a lightning strike
താണ്ഡവം	Tandavam
വേദികളില്‍	In the venues
റോക്ക	Roca
കൊച്ചിയില്‍	In Kochi
കൈവിട്ടേക്കും	May give up
ഇന്ത്യയോ	India
ബാഴ്‌സലോണക്ക്	For Barcelona
നേരിട്ടത്	Faced with
ചതിച്ചാശാനേ	Cheater
ജോളി	Jolly
സ്റ്റീ​ല്‍​ബേ​ഡ്	Steelbird
ആഫ്രിക്ക	Africa
പക്ഷം	Side
പ്രതിഷേധം	Protests
ഇതിഹാസ	Legend
മൃതദേഹം	The body
മാറ്റാന്‍	To change
സമൂഹത്തിലും	and in society.
ഐ​ഡി​യ	Idea
ടീമിലെത്തിച്ചത്	Brought to the team
ഒമാനില്‍	In Oman
അംബാസഡറായി	As an ambassador
യുവനടിയെ	The young actress
പഞ്ചാബില്‍	In The Punjab
നിര്‍ദേശം	Instructions
എല്ലാവരുടെയും	Everyone's
എവിടെ	where
ഓലെ	Ole
ഫെഡറ൪	Federer
ബിലാല്‍	Bilal
ജനുവരി	January
ആര്‍പ്പുവിളി	Shouting
കോണ്‍ഗ്രസിന്	For the Congress
ഹാട്രിക്കുകള്‍	Hat-tricks
വെങ്കടലക്ഷ്മിയുടെ	Venkatalakshmi's
താരയാകാന്‍	To be a star
വഖാര്‍	Waqar
മുഖത്ത്	on the face
കരിയറിലെ	in the career
മ്യൂസിയത്തില്‍	In the museum.
ഒത്തുകളിച്ചോ	Did you match up?
രണ്ട്	two
വ​​ഴി	road
മഴയും	And the rain.
മ​ഹീ​ന്ദ്ര​യു​ടെ	Mahindra's
കൊഹ്‌ലിയും	and Kohli
ധരിക്കുന്നതിന്	To wear
സൂക്ഷിക്കുക	Be careful
പിയുഷ്	Piyush
കളിക്കുന്നില്ല	Not playing
തിരിച്ചടിയായത്	A setback
പൂങ്കാറ്റില്‍	In the poongattu
ജോ​യ്	Joy
നോയിഡയില്‍	in Noida
സൈനികരുടെ	Of the soldiers
സബ്‌സിഡി	Subsidy
അഭിനയിക്കുന്നു	Acting
എനിക്കല്ല	Not for me
അറിയുള്ളൂ	I know
സാഫ‌്	Saaf
പ്രതികരണം	Response
കണക്ഷനും	connection and connection
സുഹൃത്തുക്കള്‍ക്കൊപ്പം	With friends.
എച്ച്‌ഡിഎഫ്സി	HDFC
ശ്രീവിവാസനും	Srivivasan and
പാവം	Poor
പോയി	Gone
നി​ര​ക്കി​​ള​വു​മാ​യി	with the rate cut
ചോര്‍ത്തി	Leaked
സിനിമയ്ക്കിടയില്‍	In between the movies
നടപടിക്കൊരുങ്ങുന്നു	Preparing for action
വി​ല്‍​പ്പ​ന​യി​ല്‍	On sale
ടോട്ടല്‍	Total
ഇനിമുതല്‍	From now on
സുക്കര്‍ബര്‍ഗ്	Zuckerberg
പരാമര്‍ശവുമായി	with the reference
നടപ്പാക്കിയത്	Implemented
യുഡിഎഫ്	UDF
ഉപേക്ഷിക്കാന്‍	To give up
നഷ്ടപ്പെട്ട്	Lost
പ്രകാശന്‍റെ	of the light
കലര്‍ന്ന	mixed
ഉണ്ടാക്കിയ	Made
വിദേശികള്‍ക്ക്	For foreigners
കാത്തിരിപ്പില്‍	In waiting
യുവതാരത്തിനെതിരെ	Against the young player
കോവൈ	Kovai
ബ്ലാ​​സ്റ്റേ​​ഴ്സ്	Blasters
തൊപ്പിയുമായി	with a hat.
കീപ്പര്‍	Keeper
ഷര്‍ട്ടിട്ട്	In a shirt
50ലക്ഷത്തിന്റെ	50 lakhs
ഭൂമി	earth
ബന്ധിപ്പിക്കുന്നതിനുള്ള	Connecting
ആറ്	six
കേട്ടാല്‍	If you hear it,
വിമര്‍ശകര്‍ക്കെതിരെ	against critics.
ആരാധകന്‍റെ	Of the fan's
ജേഴ്സിയിലിറങ്ങില്ല	Don't wear jerseys
ഉപയോഗിച്ചതായി	Used as used
മോദി	Modi
മേരാ	Mera
ഐഐടി	IIT
കളികളുമായി	with games
തെരേസയുടെ	Teresa's
ഡല്‍ഹിയില്‍	In Delhi
ആ​വ​ശ്യം	The need
എമിറേറ്റ്സില്‍	In the Emirates
എല്‍ഡിഎഫ്	LDF
തു​റ​ന്നു	Opened
മാ​തൃ​ക​യി​ലു​ള്ള	Modeled
യൂറിയ	Urea
അഖിലേന്ത്യാ	All India
എങ്കില്‍	If so,
ജഗതിയുടെ	Jagathy's
പുല്ലുപോലെ	Like grass.
സീനിന്	For Sean
സെമിഫൈനല്‍	Semi-finals
മരിക്കുമ്ബോള്‍	When he dies,
നേരിടേണ്ടി	have to face
ഫ്‌ളാഷുകള്‍	Flashes
ജ്യോതിക	Jyothika
എന്നിവ	and
കളിയ്ക്കില്ല	Not to play.
അരുണ്‍	Arun
ടീമിന്റെ	The team's
സൂര്യ	The Sun
സ്ട്രീറ്റ്	Street
റിപ്പോര്‍ട്ട	Report
കു​രു​മു​ള​ക്	Pepper
മത്സര	Competition
വരന്‍	The groom
ഹാട്രിക്കില്‍	In a hat-trick
ചൈനയിലും	And in China.
പേരെ	Name
റണ്‍സിനിടെ	During the runs
തിരിച്ചടിക്കാതെ	Without retaliating
കോട്‌ലയില്‍	at Kotla
ഉപദേശകനായി	As an advisor
ഷോര്‍ട്ട്	Short
കൊലക്കേസ്	Murder Case
ഇന്ത്യയ്‌ക്കെതിരായ	against India
വോട്ടര്‍	Voter
ബ്രയാന്‍	Brian
ആശംസകള്‍	Congratulations
സ​മ​ര്‍​പ്പി​ച്ചു	Submitted
ബോളര്‍മാര്‍	Bowlers
ഇതാദ്യം	This is the first time.
വികാരഭരിതനായി	He became emotional
എട്ട്	eight
പാളയത്തിലെത്തിച്ച്‌	Brought to the camp
നഷ്ടപ്പെട്ടു	Lost
ഓവറിലാണ്	In the over
ജയത്തിനു	For victory
പൊന്നിന്	Gold
ബിജെപിയെ	BJP
വ്യാപിപ്പിക്കാന്‍	To expand
കയ്യടി	Applause
എന്തായിരിക്കും	What will be it?
വീരമൃത്യുവരിച്ച	Martyred
