ચોર્યો	The thief
છોગાડા	Chogada
સોમન	Soman
ઉત્ક્રાંતિમાં	In Evolution
રિ	Ri
જૈનની	Jain's
ભણતા	Studying
લગ્નમંડપમાં	At the wedding hall
જેટલીને	To Jaitley
કૃપા	Please
કોડથી	from the code
આપવાં	To give
વિથ	with
કેન્સરગ્રસ્ત	Cancerous
અંબાણીને	To Ambani
એરલાઈન	Airline
ધરખમ	Strong
વર્ચ્યુઅલ	Virtual
લિબાસમાં	in Libas
બાલ	Baal
પુત્રની	of the son
ફિલ્મથી	from the film
પગાર	pay
આવકવેરાની	Income Tax
સર્જરીએ	by surgery
વધઘટની	Fluctuations
જંગલી	Wild
ગોલ્ડન	Golden
અજયની	Ajay's
દિવસભર	Throughout the day
રાજની	Rajni
લગ્નની	Of marriage
શૅફ	Chef
ભત્રીજી	niece
ઈન્ડિગો	IndiGo
માતાનાં	Mother's
પંડ્યા	Pandya
છોકરાએ	The boy
પત્ર	letter
સદગુરૂ	Sadhguru
તનુશ્રી	Tanushree
બેડરૂમમાં	in the bedroom
સંગીતને	To music
વીરે	Veere
ફટકારી	hit
સાથેનાં	With
વગાડતા	Playing
ટેકનોલોજીમાં	In technology
440માં	In 440
માર	Beating
ટેક્સટાઇલ	Textiles
બંગડીઓ	Bangles
ડૉક્ટરની	Doctor's
સ્કીમનો	of the scheme
નકારી	Rejected
ચાલનારા	Walkers
180થી	From 180
પસંદ	Selection
ઉદયપુરમાં	in Udaipur
સાચવો	Save
ડાંસ	Dance
વિંતા	Vinta
વિલ	Will
જવાં	To go
અનુરાગની	Anurag's
નોકરીઓનો	of jobs
પુછવા	To ask
ચીજની	of the thing
પ્રયાસો	Efforts
લોન્ચઃજોવો	Launch: Watch
લિસ્ટમાં	On the list
અગ્રવાલ	Agarwal
રેસ્ટોરન્ટમાં	In the restaurant
અનુષ્કાનું	Of Anushka
એક્ટર	Actor
ટૂમોરો	Tomorrow
ફિક્સ્ડ	Fixed
અદાકારને	to the actor
રાજી	Raji
લીધેલી	Taken by
તાહિરા	Tahira
ઘટાડાના	of reduction
બદલ્યા	Changed
શાહરુખને	To Shah Rukh
ગભરામણ	Panic
એકલા	Alone
અંગ્રેજીની	Of English
બંન્નેને	Both of them
ભાવી	Bhavi
બીગ	Big
ઇક્વિટી	Equity
અકસ્માત	Accident
મહેશ	Mahesh
100કરોડની	Rs 100 crore
એકસાઈઝ	Excise
2000માં	In 2000
ધારકોને	To the holders
રણવીરસિંહ	Ranveer Singh
રહેશેઃ	Will be:
શાહરુખ	Shah Rukh
હાશ્મી	Hashmi
મોહાબતે	Mohabbatein
કાયમી	Permanent
અસમનો	Of Assam
હૂબહૂ	Whooever
ક્ષેત્રે	In the field
સાત	Seven
શ્રદ્ધાનો	of faith
હિરોઈનોનો	Heroines
આરબીઆઇએ	RBI
રોજની	Daily
નેવી	Navy
હચમચી	shaken up
ચેલેન્જ	Challenge
ગેરન્ટી	Guarantee
સંભાળ્યો	Handled
મુહૂર્ત	Muhurat
108નો	Of 108
વેબસિરીઝે	Webseries
જા	Go
એલી	Ellie
નીકના	Nickna
પંજાબી	Punjabi
વિદેશ	Abroad
દિવસથી	From day on
મૂળના	Original
ઉજવશે	Will celebrate
જરૂર	Needed
પ્રેગ્નેન્ટ	Pregnant
માનહાનિનો	of defamation
લીના	Lina
કડાકાની	Kadakani
કાબૂમાં	Under control
વાતચીત	conversation
ક્લાસિક	Classic
પદ્ધતિઓથી	by methods
સેટેલાઈટ	Satellite
ટુ	To
કેનેડાની	of Canada
સંપત્તિ	Property
ચાલી	Running
આટલ	So much so
રોષે	Anger
હોટનેસની	of hotness
ઘટાડાથી	from the decrease
આતંકવાદને	Terrorism
પાસપોર્ટ	Passport
ઠગ્સ	Thugs
બદલ્યો	Changed
ધુમ	Smoke
મનમાં	in mind
જ્યોતિર્લિંગના	Jyotirlinga
એન્જિનિયરિંગ	Engineering
ગૂમ	Gum
કવિતાઓ	Poems
3799નો	Of 3799
ધર્મેન્દ્ર	Dharmendra
અંદાજ	Estimates
પગલું	Step by step
મારીને	killed
અર્ટિગા	Ertiga
હોલિ	Holly
ફેસબુકના	Facebook's
સદભાવ	Goodwill
ચુકાદો	Verdict
મેમ્બરશિપનો	of membership
મંત્રીનું	Minister's
શિવગામીની	Sivagami's
આદત	Habit
પાંડેનું	Pandey's
થિયેટર્સ	Theatres
જૂઓ	Juo
ચુકવો	Pay
સમજો	Understand
કફોડી	Kafodi
બદલાવ	Changes
લીવની	Leveni
તારીખો	Dates
રેખાના	of line
હંસિકાની	Hansika's
ડ્રોપથી	From the drop
ખુશબૂ	Fragrance
પરસેપ્શન	Perception
સુપ્રીમ	Supreme Court
મિસ્રમાં	In Egypt
ઓફિસ	Office
લતના	Latna
વિરાટ	Virat
ક્ષણિક	Momentary
જુડવા	Judwaa
ચલણી	Currency
ફટકો	Shock
જીંદાદીલી	Zindadili
વાપરો	Use
ફ્લૉન્ટ	Flant
બીલવ્ડ	Belvd
પીવડાવતી	Drinking
ષડયંત્રનો	of conspiracy
મેન	Man
સેક્રેટરી	Secretary
સાનિયા	Sania
આપ્યા	Given
ફેવરિટ	Favorite
હુસ્ન	Husn
રૂપિયાને	to the rupee
ફિચર્સ	Features
મંગળસૂત્ર	Mangalsutra
ફિનાલેમાં	In the finale
ડાર્ક	Dark
વીકમાં	in the week
પૂણે	Pune
ગિન્ની	Ginny
બનાવતા	Creating
આરબીઆઇના	OF THE RBI
નમક	salt
મંગાવાશે	Will be ordered
વિજેતાનું	of the winner
થીમ	Theme
કાઢવા	To remove
આનંદ	happiness
ફુડ	Food
રૂપિયા	Rupees
ચુક્યા	paid
ટૂકાં	Tukka
હટાવવો	Remove
દુનિયાનાં	of the world
પરિવારનાં	of the family
અજિત	Ajit
પહેર્યું	Worn
જંગલમાં	in the forest
લતાએ	Lata
મહાસેલ	Mahasell
એવરગ્રીન	Evergreen
સ્ટારે	Starre
ખાતાં	Accounts
પડશો	Fall
પ્રોડક્ટ્સને	Products
ખત	Khat
ચોરાય	Thieves
પૉઇન્ટ	Point
લગ્નનાં	Of marriage
સંગ	Song
કપૂરનાં	Kapoor's
સિક્સ	Six
નીલુનું	Of Neelu
50થી	From 50
જવેલર્સોની	Of jewelers
મી	m
સીએમ	CM
બિલકુલ	Absolutely
લાલુના	Lalu's
ફ્લેક્સી	Flexi
વસુલે	Vasule
જવાનો	To go
જમાવટ	Deployment
મલ્હારનો	Malhar's
નૂતન	Nutan
નારાયણમૂર્તિ	Narayanamurthy
ટેક્નોલોજીની	of technology
11ની	of 11
ઇન્દોરમાં	in Indore
નૉમિનીને	To The Nominee
કાજોલની	Kajol's
ભોસલેના	Bhosalena
નેનો	Nano
ભૂલ	Error
કુમારે	Kumar
વેલિડ	Valid
પેન્ટ	pants
સુપરફ્લોપ	Superflop
શૂટ	Shoot
પોસ્ટરમાં	In the poster
ખાત	Khat
અલીબાબા	Alibaba
અભિનેત્રીઓનો	of actresses
મળતા	Meet
વિચલીત	Scattered
કેરીનો	Kerry's
અમિત	Amit
વ્યવસ્થા	Arrangement
મૂડીઝે	Moody's
પવન	wind
ખેડૂતોને	Farmers
કાર	car
દુકાનની	shop
ગવર્નર	Governor
છુપાઇને	By hiding
29મી	29th
કેન્સર	Cancer
દિયા	Dia
પ્રપોઝલ	Proposal
થોડા	A few
જૈકલીને	To Jackley
બાપ્પા	Bappa
પ્રત્યેનો	to
મંદીનો	of recession
ડેડ	Dead
મનાવી	To celebrate
100થી	From 100
પૉપ	Pop
ખૂલશે	Will open
ચાર્જિંગ	Charging
આંટીને	Auntie
પત્ની	Wife
ઇન	In
મચ્છર	gnat
કોઈએ	Someone
સહકાર	Cooperation
મોડલનો	of the model
બંધને	To off
ઉરી	Uri
ક્રિતિ	Kriti
ચાર્મ	Charm
ચુકતા	Chukta
હોવાં	Being
રાજકીય	Political
ભસિનની	Bhasin's
મેગાસેલ	Megasale
પ્રિન્સની	The Prince's
સંપતિ	Property
ખાધેલું	Eaten
આતુરતાથી	Eagerly
ફેન્સની	of the fans
પાડી	Down
સફરજન	apple
દેવાળું	Bankrupt
ઘટના	Event
મિડલ	Middle
પરફેક્ટ	Perfect
નાનકડો	Small
માલદિવ્સમાં	In the Maldives
ટ્યુબ	Tube
લઘુતમ	lowest
શરુ	Start
અમલી	Enforcement
ફસાયો	Trapped
સમિટઃગુજરાતી	Summit: Gujarati
મેનેજર	Manager
જામ્યો	Jamyo
આશંકા	Apprehensions
ગ્રૈંડ	Grand
સુરતમાં	In Surat
છુપાવ્યો	Hidden
અમેરિકાનો	Of The United States
બેન્દ્રેને	Bendre
ફેસબુકમાં	In Facebook
સુઝુકીની	Suzuki's
મીસ	Miss
દ્રશ્ય	Scene
કસ્ટમરને	to the customer
ડિસ્પ્લે	Display
ઘડક	the clock
સંગીત	music
000નો	Of 000
નં	No.
નશાની	intoxication
પ્રેરણાએ	Inspiration
આક્રમક	Aggressive
મોબાઈલને	to mobile
પ્રેગ્નન્ટ	Pregnant
ઉભું	Standing up
રંગનાથ	Ranganath
રણદીપ	Randeep
પ્રીમિયમ	Premium
ફન્ને	Fanney
તસવરો	Tasawro
વિભાગના	Department
રામ	Ram
ઇંચ	inches
ઓમકારા	Omkara
હાર	Losing
પૌત્રના	Of the grandson
રિલેશનને	to the relationship
રાખવાની	to keep
રિલેશનશીપ	relationship
હિરાનીએ	Hirani
દુનિયાની	of the world
માર્ગે	Along the way
100ની	Of 100
ઓઇલના	of oil
રિલાયન્સની	Of Reliance
બાળકનું	child's
સ્વરાજને	To Swaraj
ઇસ્લામ	Islam
દુઃખની	of sorrow
રાનીની	Rani's
એચ	H
ડાંસનો	Dance
બેચલર્સ	Bachelors
ચેટિંગનો	Of chatting
ઇચ્છુ	Want to
હોસ્પિટલ	Hospital
9માં	In 9th
લિયોનનું	Of Leon
એન્જેલા	Angela
જ્હાનવી	Jhanvi
રાનીનાં	Rani's
સુષ્મા	Sushma
મારુતિએ	Maruti
સીએમનું	CM's
વર્ષોમાં	over the years
માંગી	Asked for
કામદારોની	of the workers
ગામ	village
સ્વાસ્થ્ય	Health
બાઇકનું	of the bike
ખાતામાં	In the account
સેંસેક્સ	Sensex
રડતાં	Crying
જથ્થો	Quantity
કાર્ડ	Card
રહેવું	dwell
ઓફરનો	of the offer
ભરાશો	Fill up
સગીર	minor
કડાકા	Kadaka
ઓસ્કર	Oscars
૧	1
લગ્નમાં	At the wedding
કિકુએ	Kiku
મનપસંદ	Favorites
હમણાં	Right now
બાલાભાસ્કરનું	Balabhaskar's
અર્થવ્યવસ્થામાં	in the economy
અરબ	Arab
ચાંપી	Champi
યંગ	Young
499માં	In 499
મેસેજની	of the message
2ના	2 of
એપલની	Apple's
કરનાર	Doer
1388માં	In 1388
માહોલમાં	in the atmosphere
રીયૂનિયન	Reunion
કાસ્ટ	Cast
ફંડમાં	in the fund
કહેર	Kahar
ટળી	Avoided
વિંટર	Winter
રખાયા	kept
પસ્તાશો	Repentant
સ્ટેટસ	Status
રિટર્ન	Returns
વર્ષિય	year
આવ્યુ	Came
અમરેલી	Amreli
ઇમરજન્સી	Emergency
કસમના	Kasamana
1649માં	In 1649
રાષ્ટ્રપતિનું	Of the President
પીડિતોની	of the victims
તેવો	Such as
પોસ્ટર	Poster
લગ્નસરામાં	At the wedding
પ્લાનનો	of the plan
ઉદઘાટન	Inauguration
સાથેની	with
બચાવશે	Will save
માતાનો	Mother's
ઐતિહાસિક	historic
ખળભળાટ	commotion
રાજીનામું	resignation
ટ્રોફી	Trophy
લઇ	Take
ઉમટ્યા	Umtya
મોદી’ના	Modi's
નકામુ	useless
ટ્રાન્સફર	Transfer
બેની	Benny
રાજકોષીય	fiscal
આમ	so
લેવડદેવડમાં	in transactions
ક્લિપ્સ	Clips
જેફ	Jeff
ચોકાવનારુ	Shocking
ઓર્ડર	Order
ઑફર્સ	Offers
ગુમાવવા	Losing
દિશાએ	In direction
નહિં	Not
અર્જૂનની	Arjun's
નવેમ્બરમાં	In November
એન્ટ્રી	Entry
મહિનાની	months
મુદ્રા	Posture
ગેરકાયદેસર	Illegal
2020માં	In 2020
રાજેશ	Rajesh
પ્લાનઃ	Plan:
લાવવામાં	In fetching
ગૂગલનો	Of Google
આતંકી	Terrorist
વરિષ્ઠ	Senior
દેવગન	Devgan
આખો	The whole
પેન્ટીને	Panty
ધનવાનોની	of the rich
અંકુશમાં	under control
ખોટુ	False
પારંપરિક	Traditional
મહત્વનાં	Important
સતીશ	Satish
બાજી	Baji
કઢી	curry
અંબાણી	Ambani
બબાલથી	From Babbal
પીરામલનું	Piramal's
શ્રોફે	Shroff
વિના	without
સુદ	Sood
વાઈબ્રન્ટ	Vibrant
ટીવીની	TV's
ઠકરાલ	Thakral
અમરજીત	Amarjeet
ક્યાંય	Somewhere
10માં	In 10
સ્ટેજ	Stage
કેઇલી	Cayley
રાજકારણ	politics
મિત્રો	Friends
અનન્યા	Ananya
જવેલરીનું	Of jewellery
કોલ	Call
સિમ્બા	Simba
મ્યૂઝિકે	Music
અસુર	Asura
ભેટ	Gifts
મગફળીની	peanuts
શહેરનો	of the city
જનમત	Referendum
તસ્કરો	Traffickers
આંખોને	to the eyes
ગૂંજ્યો	Buzzing
એજ્યુકેશન	Education
ડિજીટલ	Digital
બરફમાં	in the snow
સરલ	Saral
કારિગરોને	To The Carigors
વાજપેયી	Vajpayee
રાજને	To Raj
નિર્દેશ	Instructions
બિપાશા	Bipasha
ડોભાલ	Doval
ભારતીયને	To the Indian
સમિટ	Summit
પ્રિન્ટિંગ	Printing
પીવાની	To drink
જીવિત	Alive
રેલવેના	Of the Railways
જલોટાની	Jalotani
કરુ	Do it
મામલે	In the case
વધેલા	increased
5કરોડની	5 crores
ભલભલી	Bhalbhali
દીપિકાને	To Deepika
આકર્ષક	Attractive
માફ	Sorry
ગાય	cow
મેપથી	From the map
સાસુએ	Mother-in-law
ઇન્કમટેક્સ	Income Tax
ભાવૂક	Emotional
ઇન્વેસ્ટર્સ	Investors
કરશો	Do
બીનનાં	Bean's
બધાં	All
સણસણતો	Singsing
બનાવી	Created
12990નો	Of 12990
ભજવશે	Will play
ફૂંકવાની	blowing
રોય	Roy
સિંગર	Singer
અરૂણાચલની	of Arunachal
આવનાર	Coming
સરકારનો	Government
દિલ્હીથી	From Delhi
ઉર્જિત	Urjit
મારા	my
મોબાઈલ	mobile phone
ઈરાન	Iran
ઉમટ્યું	it's over
ઓક્ટોબરમાં	In October
બાળકોના	children's
બોર્ડર	Border
ગાઉનમાં	In a gown
0નું	of 0
બ્લાઈંડ	Blind
લગાવવાથી	By applying
અદભુત	Awesome
આઉટ	Out
જોતી	Watching
આલિયાએ	Alia
એરપોર્ટ	Airport
માલિક	Owner
પૈસાદાર	rich
ભાઇની	brother's
સૂર	Sur
વિશ્વ	world
પત્નીઓ	Wives
દિકરીની	of the daughter
કરેઃસરકાર	Do: The Government
મોતનો	of death
મિર્ઝાપુર	Mirzapur
ચાની	Tea
બેટરીની	of the battery
ટૂરિસ્ટ્સને	To tourists
સ્પા	Spa
નવાઝુદ્દીનનુ	Nawazuddin Siddiqui
ફાઇનલ	Final
રીટા	Rita
કાપી	cut
ખેડુતોને	farmers
પંચમહાભૂતમાં	In Panchamahabhuta
દિશા	direction
ડાયલોગ્સ	Dialogues
વડોદરા	Vadodara
ચાલું	Ongoing
મેટ	Matt
સોફિયાએ	Sophia
આઈલેન્ડ	Island
પ્રાઈવેટ	Private
એન્ટરટેઇનમેન્ટ	Entertainment
ફળ	fruit
વધ્યું	increased
દઈશું	We'll give
અછત	Shortage
કપડાં	clothing
લાયન્સ	Lions
બોલિવુડ	Bollywood
કન્ફોર્મ	Conform
લાઇક્સનો	Of likes
થવાની	to be
ટીવીએ	TVA
કેસરી	lion
પટણીએ	Patni
20વધારી	Increased by 20
સેવામાં	In service
ચોક્સીના	Choksi's
યુટ્યૂબર	YouTube
સાંભળો	Listen
મિલકતોની	of the properties
રેહાએ	Rehae
ઉપયોગી	Useful
સોનું	gold
બસ	That's all
માધુરીએ	Madhuri
પ્રિયાંક	Priyank
શોભશે	Will be adorned
નિર્માતા	Producer
15મીએ	On the 15th
બાલાજીને	To Balaji
વધારોઃજોવો	Increase: Watch
મેમ	Ma'am
અક્ષયને	To Akshay
ત્રિશુલનું	Of Trishul
સ્ટાઇલ	Style
બનેગા	Banega
ડિઝાઇન	Design
ખાન’નું	Of 'Khan'
પ્રતિનિધિ	Representative
એમેઝોનની	Amazon's
એશની	Ashney
હાઉસ	House
કોહલી	Kohli
સ્ટેપ	Step
ફેન્સએ	Fans
ઉઝબેકિસ્તાનમાં	in Uzbekistan
હજારને	to a thousand
ડિપોઝિટના	of deposit
હાલતમાં	in a state
માર્ક	Mark
મળતાં	Meeting
ડરથી	Out of fear
નિર્માતાનો	Producer's
નવ	Nine
કૃષ્ણમૂર્તિ	Krishnamurti
મોબાઈલનો	Mobile's
પાટેકરની	Patekar's
બ્રિટનના	Britain's
હાથથી	By hand
ટૂંકમાં	In short
મર્સિડીઝ	Mercedes
ફસાવ્યો	trapped
સટ્ટાબાજીમાં	In betting
પંચમહાલઃ૧૩૭	Panchmahal: 137
લોકો	people
ઉંધા	blind
રૂપિયાના	Rupees
સ્ટાર્સનો	of the stars
વધતી	Growing up
બકરીને	to the goat
સ્વીકાર	Acceptance
જેલની	of prison
પ્રદૂષણ	Pollution
ઈન્શ્યોરન્સ	Insurance
પીવાથી	By drinking
મૂકી	Put on
ફેન્સને	To the fans
ટેડી	Teddy
ચિપ્સ	Chips
મેમરી	Memory
શિકાર	hunt
200ની	Of 200
ધનિક	Rich
ચાલૂ’	Let's go'
ધનકુબેરની	Dhankuber's
લાઇફમાં	in life
ડોલરની	Dollar
બગાડવામાં	Wasting
સ્પોટ	Spot
રેલ્વે	Railways
સોનાક્ષી	Sonakshi
ખજાનો	Treasures
અસર	Effect
જસ્ટિન	Justin
માલામાલ	Malamal
સમાચાર	news
નાખો	Throw
પરોક્ષ	Indirect
મંથન	Manthan
યુઝર્સની	of the users
બજેટનો	Of the Budget
તુરંત	Immediately
ગર્ભમાં	in the womb
જીવનસાથીના	of a spouse
બ્રાંડ	Brand
ફિલ્માવવામાં	In filming
ઇલેક્ટ્રીક	Electric
કોચર	Kochhar
મુખાગ્નિ	Mukhaagni
નોધણી	Nodhani
કમરમાં	At the waist
લઘુ	Small
બાબતનું	of the matter
ડ્યુટીના	of duty
ન્યાય	Justice
ચોરી	theft
ઉંચકાયુ	raised
30ની	Of 30
ઝળહળી	Glowing
શેર્સમાં	in shares
મહારાણી	The Queen
ગમશે	Would love to
વધુનું	More
નો	No
વપરાશકર્તા	User
વસ્તુના	of the item
મોકલશે	will send
જેલરે	Jailer
પકડ્યો	Caught
અમે	We
ગૂગલે	Google
મુદ્દાઓથી	from issues
બાથરૂમમાં	in the bathroom
કેમેરાવાળો	Cameraman
વોરંટી	Warranty
અનિકા	Anika
બ્રાન્ડ	Brand
ખેડૂતો	Farmers
યોજનાનાં	of the scheme
લહેંગામાં	In a lehenga
લક્ષ્ય	Target
સિરીયલ	Serial
ધનકુબેર	Dhankuber
સ્થિતિ	Status
સોનીએ	Sony
મેગાપિક્સલનો	of megapixels
મદદની	of help
ત્રીજો	The third
ખાંડ	sugar
ગોવા	Goa
તુટવાની	broken
કપિલના	Kapil's
સૂપર	Super
પ્રતિદિવસે	Every day
જેકલીન	Jacqueline
સૂફી	Sufi
રાખડી	Rakhi
બિલ્ડર	Builder
મહિલાઓ	Women
કોર્ટે	Court
વધવાની	To grow
સુમનનું	Suman's
કંગાળ	Poor
બાબૂના	Babuna
કંપનીઓમાં	in companies
રહેલા	Staying
સુપરહીટ	Superhit
સ્પીડવાળો	Speedy
વધુના	More
થર	Thar
સડસડાટ	Sadsdat
આંબેડકરની	Ambedkar's
ફ્રેંડ	Friend
લીનું	Lee's
કિલો	kilo
નિરાશાજનક	Disappointing
ઈન્ટર્ન	Intern
શિખો	Learn
ચડી	Climbed
નાચવા	To dance
35હજાર	35,000
3વર્ષની	3 years old
જ	Only
છોડીતી	Quitting
મલિયાલી	Maliali
ઇન્ડસ્ટ્રીઝના	Of industries
આપેલાં	Given
રોડીઝની	Of Roadies
સગાઇની	Engagement
કહીને	by saying
માસ્ટરબેટ	Masterbet
ચેલેન્જને	To challenge
અાપણી	your
આર્ટિસ્ટે	Artist
બનાવાઇ	Created
બંપર	Bumper
13499નો	Of 13499
કઠોળ	Pulses
છગ્ગા	Sixes
માગને	Demand
કેળા	Bananas
મંજૂરી	Approval
વતન	Hometown
બચ્યા	Survived
ટાયકૂન્સ	The Tycoons
લેનોવો	Lenovo
વોટરડ્રોપ	Waterdrop
આફ્રિકામાં	In Africa
ઓઇલનો	of oil
રેપાપોર્ટ	Repaport
બનાવવા	Creating
પોલીસીના	Of the policy
કાઇલી	Kylie
રનૌત	Ranaut
મ્યૂચ્યુઅલ	Mutual
સિતારાઓનો	of the stars
કનેકશનમાં	In connection
ભાંડીને	Bhandi
શોર્ટ	Short
મોટોરોલાનો	Motorolano
સંરક્ષણ	Defense
ધન	Money
તી	Ti
મોકલ્યા	Sent
શકસો	Could
પ્રસાદને	To Prasad
પ્રમોશન	Promotions
મૅસેજમાં	In message
સિદ્ધી	Accomplishment
સાગર	Sea
દીવાસળી	Diyasli
કોણે	Who
આત્મહત્યા	Suicide
કુમારને	To Kumar
પાથર્યો	Scattered
નવાઝુદ્દીન	Nawazuddin
8ને	8
વળતરથી	from compensation
લાખને	to lakhs
7થી	From 7
શરીફને	To Sharif
ચોપડાને	To Chopra
બંગાળમાં	In Bengal
ચૌધરીનાં	Chaudhary's
જીબી	GB
મહંતે	Mahante
લિપ	Lip
એકની	of one
લોકોમાં	among the people
રમવી	Playing
દિવ્યાંગ	Divyang
અપેક્ષા	Expectations
દેવીને	To the Goddess
ગડબડી	Mess
ગેસની	of gas
ખેમૂ	Khemu
ચૂગલી	Chugli
સંકેત	Hint
હેલી	Haley
રહીશ	Will stay
પટેલ	Patel
હકાલપટ્ટી	Expulsion
કઇક	Something
બનાદી	Banadi
તોડ્યો	Broken
અવોર્ડ્સમાં	At the awards
સોનાક્ષીએ	Sonakshi
વેચ્યો	Sold
શરીર	body
રાજ્યનું	of the state
લગામ	Lagam
કપાશે	will be cut
બિઝનેસથી	From business
એસ્ટન	Aston
શ્રીદેવીની	Of Sridevi
સનસનાટી	Sensation
મશહૂર	Mashhoor
નિયમોનું	Rules
દીકરાના	of the son
એરવેઝે	Airways
રેકોર્ડને	To the record
અપનાવી	Adoption
સ્પિટ્સવીલાની	Spitsvilla's
ઈમરાન	Imran
રજાઓ	Holidays
વળી	And also
કુદકો	Jump
શેટ્ટીએ	Shetty
શોક	Mourning
ચકિત	Shocked
વ્યાજમાં	in interest
સાદી	Simple
મિર્જાપુર	Mirzapur
બ્રિટનવાસીઓએ	Britons
એક્સપોમાં	At the Expo
જિયોને	To Jio
ટ્રિપલ	Triple
કશ્યપે	Kashyap
લાઈનમાં	In line
રાતોથી	overnight
મજબુરીમાં	in majboori
ફ્રેન્ડ	Friend
જગમગી	Jagamgi
ટાટા	Tata
ખોળામાં	in the lap
માતાનું	Mother's
પરણવાં	Getting married
રાજકોટની	Of Rajkot
કલાકમાં	in an hour
શનિવારે	On Saturday
એન્ડ	End
ચોકસીને	Choksi
કમાવવાના	Earning
લેટેસ્ટ	Latest
પરત	Back
ટેક્સ	Taxes
જયતે’	Jayate'
ખન્નાની	Khanna's
મસ્તાની	Mastani
રિંગ	Ring
મંદાના	Mandana
ડુબી	Doobie
જેટલીની	Jaitley's
કાર્યક્રમમાં	At the event
સ્કૂલમાંથી	From school
મોંઘો	Expensive
ફાયદાકારક	Beneficial
ચૌહાણ	Chauhan
પ્રેગ્નેન્સી	Pregnancy
નીચા	Low
જેવી	like
ખાઈને	by eating
શ્રીદેવીનો	Of Sridevi
10420ની	Of 10420
હિડન	Hidden
છોડો	Leave
અબજોના	of billions
ઈન્ડીયાએ	India
વહાવ્યો	Washed away
ઉખાડીને	uprooted
નકામું	useless
સ્પીડમાં	in speed
દેખરેખ	Supervision
બર્થડેમાં	On birthday
સમાધાન	Settlement
તેનું	His
ઓનસ્ક્રિન	Onscreen
નિવદેન	Nivden
વિદેશો	Overseas
મર્જર	Merger
રૂલ	Rule
સુરતઃજવેલર્સ	Surat: Jewellers
બુકમાર્ક	Bookmark
રાધ્યાનો	Radhyano
સનીના	Sunny's
આરામ	relaxation
લૂક્સ	Looks
જતી	going
વિનંતી	Request
ફ્લો	Flow
મંત્ર	mantra
સિકંદરની	Sikander's
ઈન્વેસ્ટર્સ	Investors
ચેજર્સ	Chasers
આપતા	Giving
બાર્ટોલોમીઓ	Bartolomeo
રાખીશું	Will keep
પ્રેગનેટ	Pregnette
માંગ	Demand
વરસાદમાં	In the rain
રોયનો	Roy's
હશે	Would be
શક્તિશાળી	Powerful
તબક્કામાં	In phase
કાનથી	by ear
ગણાવીને	By counting
શૂટિંગનું	of shooting
હૈદરીની	Haiderini
વડોદરાઃ	Vadodara:
રફતાર	Raftaar
કેશબેકની	Cashback
બ્રાંડનો	of the brand
ફર્યા	turned around
નવાઝવામાં	In Nawazwa
ડેડી	Daddy
પદ્ધતિ	Method
છ	Six
વ્યાજની	of interest
સુપરહીરો	Superhero
ફગાવી	Rejected
એજન્સી	Agency
તકલીફ	Trouble
ક્યૂટ	Cute
ઘરના	At home
રોબોટે	Robot
રિક્ષાને	To the rickshaw
બ્રેઝા	Brezza
ખુલીને	Open
બ્લૂએ	Blue
બોલિવૂડનો	Of Bollywood
તાલુકાનું	of the taluka
હવાઈયાત્રા	Air travel
ક્રાંતિ	revolution
અંખિયો	Ankhio
અમીર	Amir
મિઠાઇ	Sweets
મોબાઈલનું	of mobile
પસ્તાવું	repent
સાડી	sari
દિવસનું	of the day
રાજ્યના	State
નજર	Eye
કરન્સીની	of currency
આઇડિયા	Idea
મલાઈકાથી	From Malaika
દીક્ષિતનાં	Dixit's
હેલ્થ	Health
7300ની	Of 7300
વાળા	With
નોંધબંધી	Notebandi
રફ	Rough
બ્રિટને	To Brittany
સપના	Dreams
કેટલા	How many
સવાલોના	of questions
તુષિતને	To Tushit
રાજનની	Rajan's
સિવાય	Except
કરાવવા	To get
પ્રકાશનો	Publications
યૂઝર્સ	Users
આચકો	Shocks
કોર્પોરેશનને	to the Corporation
આતંકીઓએ	terrorists
12વર્ષમાં	In 12 years
નોકિયાએ	Nokia
રશ્કે	Rashke
ટ્રેન	Train
રીકવરી	Recovery
લંગડા	lame
લખનઉમાં	in Lucknow
સાઇકલ	bicycle
મુસાફરીનો	of travel
પોસ્ટપેઈડ	Postpaid
છેડતીના	of molestation
નવેલી	Naveli
રાખવા	To keep
દીપિકાનાં	Deepika's
વિરાટની	Of Virat
મિસ્ત્રી	Mistry
ભાગદોડથી	by running
કિમતમાં	in price
ઇન્ટનેટ	Internet
થિયેટરમાં	in the theater
વીમાની	Insurance
ગાડીઓ	Cars
છૂટક	Loose
ચેટિંગમાં	In chatting
બદલાઇ	Changed
જૂની	Old
અત્યંત	extremely
સિતારાઓ	Stars
ભોજન	meal
મ્યુઝિક	Music
લેવાશે	will be taken
નીકટતા	closeness
કેટેસ્ટંટે	Catestante
ખેંચ્યો	Dragged
સુભાષ	Subhash
વખત	time
સમયે	In time
પોર્ન	
મંદિર	temple
હિન્ટ	Hint
કીંચ	Keynch
લિક	Lick
તમારા	Yours
કૃતિનો	Of the work
સુરતની	Of Surat
જેક્સનની	Jackson's
કાંજીવરમ	Kanjeevaram
વેપારીઓ	Traders
જૂતા	Shoes
હસીનાઓનો	Of the hasinas
તુટ્યા	broken
રેન્કિંગમાં	In ranking
નાનો	Small
કોંગ્રેસ	Congress
